Customer Name,Sub-Category,Profit
Claire Gute,Bookcases,41.9136
Claire Gute,Chairs,219.582
Darrin Van Huff,Labels,6.8714
Sean O'Donnell,Storage,2.5164
Brosina Hoffman,Furnishings,14.1694
Brosina Hoffman,Art,1.9656
Brosina Hoffman,Phones,90.7152
Brosina Hoffman,Binders,5.7825
Brosina Hoffman,Appliances,34.47
Brosina Hoffman,Phones,68.3568
Andrew Allen,Paper,5.4432
Irene Maddox,Binders,132.5922
Pete Kriz,Storage,13.3176
Alejandro Grove,Storage,9.99
Zuschuss Donatelli,Art,2.4824
Zuschuss Donatelli,Phones,16.011
Zuschuss Donatelli,Binders,7.384
Ken Black,Art,5.0596
Ken Black,Appliances,15.6884
Eric Hoffmann,Binders,4.2224
Eric Hoffmann,Accessories,11.7741
Tracy Blumstein,Furnishings,15.525
Tracy Blumstein,Envelopes,1.1016
Tracy Blumstein,Art,9.7092
Tracy Blumstein,Art,3.546
Matt Abelman,Paper,9.9468
Gene Hale,Phones,123.4737
Steve Nguyen,Envelopes,35.415
Steve Nguyen,Phones,41.7564
Linda Cazamias,Phones,16.5564
Ruben Ausman,Storage,3.894
Erin Smith,Storage,9.5616
Odella Nelson,Accessories,19.7714
Odella Nelson,Binders,8.2062
Patrick O'Donnell,Storage,8.4784
Lena Hernandez,Accessories,4.95
Lena Hernandez,Phones,6.104
Darren Powers,Binders,17.9634
Darren Powers,Labels,35.3346
Darren Powers,Furnishings,2.9568
Darren Powers,Chairs,17.0981
Janet Molinari,Fasteners,6.2566
Janet Molinari,Phones,298.6855
Ted Butterfield,Storage,52.14
Ted Butterfield,Paper,15.552
Ted Butterfield,Chairs,7.098
Ted Butterfield,Paper,6.9888
Ted Butterfield,Accessories,3.3
Ted Butterfield,Binders,16.362
Ted Butterfield,Art,0.84
Kunst Miller,Accessories,6.1512
Kunst Miller,Binders,9.3612
Kunst Miller,Paper,68.9631
Kunst Miller,Furnishings,22.3328
Brendan Sweed,Art,111.3024
Brendan Sweed,Phones,62.988
Karen Daniels,Paper,35.6636
Henry MacAllister,Binders,1.731
Tracy Blumstein,Paper,8.763
Joel Eaton,Furnishings,1.213
Ken Brennan,Storage,2.724
Stewart Carmichael,Appliances,56.2032
Stewart Carmichael,Binders,8.0352
Duane Noonan,Art,4.172
Duane Noonan,Storage,6.2031
Julie Creighton,Envelopes,62.8075
Patrick O'Donnell,Chairs,33.2156
Paul Gonzalez,Accessories,6.7966
Paul Gonzalez,Labels,2.9568
Gary Mitchum,Storage,13.8572
Jim Sink,Art,6.633
Jim Sink,Phones,8.2782
Jim Sink,Paper,3.1104
Karl Braun,Paper,6.2208
Karl Braun,Furnishings,16.5354
Karl Braun,Binders,16.1504
Parhena Norris,Furnishings,40.5426
Katherine Ducich,Binders,17.9592
